movie_title,director_name,title_year,facenumber_in_poster,director_ig_followers,actor_1_name,actor_1_ig_follow,actor_2_name,actor_2_ig_follow,duration,genres,plot_keywords,buget,gross,num_critic_for_review,num_user_for_review,imdb_socre,num_awards_won,box_office
Taxi Driver,Martin Scorsese,1976,1,1900000.0,Robert De Niro,8327751.648,jodie Foster,4978.0,114,"Crime, Drama",0,1000000.0,28260000,318,1400,8.3,12,28400000.0
Fight Club,David Fincher,1999,2,10600.0,Brad Pitt,2800000.0,Edward Norton,474000.0,139,Drama,0,63000000.0,37030000,352,4500,8.8,51,101200000.0
The Green Mile,frank Darabont,1999,1,119.0,Tom Hanks,9500000.0,David Morse,31400.0,189,"Crime, Drama, Fantasy",0,60000000.0,136800000,217,2100,8.6,178,286800000.0
Django Unchained,Quentin Tarantino,2012,3,554000.0,Jamie Foxx,17300000.0,Christoph Waltz,13969980.28,165,"Drama, Western",0,100000000.0,162810000,672,1800,8.4,45,425400000.0
Gone Girl,David Fincher,2014,1,10600.0,Ben Affleck,96400.0,Rosamund Pike,1100000.0,149,"Drama, Mystery, Thriller",0,61000000.0,167770000,643,1800,8.1,61,369300000.0
12 Angry Men,Sidney LUMET,1957,1,189.0,Henry Fonda,8327751.648,Lee J. Cobb,13969980.28,96,Drama,0,2000000.0,4360000,168,2100,8.9,20,389706608.4
Gladiator,Ridley Scott,2000,1,355591.1935,Russell Crowe,1200000.0,Joaquin Phoenix,93800.0,155,"Action, Adventure, Drama",0,103000000.0,187710000,180,3000,8.5,12,460500000.0
The Lord of the Rings: The Return of the King,Peter Jackson,2003,6,1449.0,Elijah Wood,536000.0,Viggo Mortensen,21000.0,201,"Adventure, Drama, Fantasy",0,94000000.0,377850000,300,4200,8.9,22,1142000000.0
Forrest Gump,Robert Zemeckis,1994,1,876.0,Tom hanks,9500000.0,Robin Wright,692000.0,142,"Drama, Romance",0,55000000.0,330250000,110,3100,8.8,47,678200000.0
The Dark Knight Rises,Christopher Nolan,2012,1,227000.0,Christian Bale,442000.0,Tom Hardy,9900000.0,164,"Action, Thriller",0,250000000.0,448140000,547,3800,8.4,41,1081000000.0
Jurassic Park,Steven Spielberg,1993,0,1611.0,Sam Neill,25000.0,Laura Dern,13969980.28,127,"Action, Adventure, Sci-Fi",0,63000000.0,402450000,263,1400,8.1,93,1034000000.0
Reservoir Dogs,Quentin Tarantino,1992,5,554000.0,Harvey Keitel,214.0,Tim Roth,44700.0,99,"Crime, Drama, Thriller",0,1000000.0,2830000,156,1300,8.3,29,3200000.0
Apocalypse Now,Francis Ford Coppola,1979,1,384000.0,Marlon Brando,199000.0,Martin Sheen,2747.0,147,"Drama, Mystery, War",0,31000000.0,623525,94,16526,8.4,45,389706608.4
Guardians of the Galaxy,James Gunn,2014,5,2700000.0,James Gunn,2700000.0,Zoe Saldana,1120000.0,121,"Action, Adventure, Comedy",0,170000000.0,566490,1574,5723,8.1,51,773300000.0
The Lion King,Roger Allers,1994,2,17000.0,Beyonce,31900000.0,Donald Glover ,4800000.0,88,"Animation, Adventure, Drama",0,45000000.0,31708,88,12364,8.5,5,968500000.0
American Beauty,Sam Mendes,1999,1,355591.1935,Mena Suvari ,305000.0,Kevin Spacy,602000.0,122,Drama,0,5000000.0,975750000,34,29052,8.3,21,356300000.0
Kill Bill: Vol. 1,Quentin Tarantino,2003,1,355591.1935,Uma Thurman,1400000.0,Lucy Liu,1400000.0,111,"Action, Crime, Thriller",0,300000.0,525750000,43,1050705,8.1,54,180900000.0
Goodfellas,Martin Scorsese,1990,3,1900000.0,Ray Liotta ,183000.0,Lorraine Bracco,69500.0,146,"Biography, Crime, Drama",0,25000000.0,35130000,21,29269,8.7,20,46800000.0
Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,3,355591.1935,Emma Watson,7450000.0,Rupert Grint,500000.0,130,"Adventure, Drama, Fantasy",0,250000000.0,28575750,41,19742,8.1,18,1342000000.0
L?n,Luc Besson,1994,1,355591.1935,Natalie Portman,9000000.0,Gary Oldman,170000.0,110,"Action, Crime, Drama",0,16000000.0,14625000,64,14718,8.5,17,45300000.0
Blade Runner,Ridley Scott,1982,4,104000.0,Daryl Hannah,75800.0,Joana Cassidy,23100.0,117,"Action, Sci-Fi, Thriller",0,28000000.0,24652500,84,25177,8.1,16,33800000.0
The Silence of the Lambs,Jonathan Demme,1991,1,355591.1935,Anthony Hopkins,5100000.0,Brooke Smith,24100.0,118,"Crime, Drama, Thriller",0,19000000.0,98055000,86,29660,8.6,124,272700000.0
Back to the Future,Robert Zemeckis,1985,1,355591.1935,Michael J Fox,230000.0,Lea Thompson,457000.0,116,"Adventure, Comedy, Sci-Fi",0,19000000.0,1579575000,87,39823,8.5,109,389100000.0
Requiem for a Dream,Darren Aronofsky,2000,1,317000.0,Jennifer Connelly,1400000.0,Jared Leto,1170000.0,102,Drama,0,4500000.0,2730000,71,28646,8.3,83,7400000.0
Shutter Island,Martin Scorsese,2010,1,1900000.0,Leonardo DiCaprio,6210000.0,Mark Ruffalo,2050000.0,138,"Mystery, Thriller",0,80000000.0,960075000,63,26220,8.1,42,294800000.0
Alien,Ridley Scott,1979,1,104000.0,Tom Skerritt,4368.0,John Hurt,13969980.28,117,"Horror, Sci-Fi",0,11000000.0,59175000,89,22292,8.4,4,203600000.0
The Lord of the Rings: The Two Towers,Peter Jackson,2002,9,135000.0,Andrew Serkis,329000.0,Miranda Otto,834000.0,179,"Adventure, Drama, Fantasy",0,94000000.0,256912500,87,72895,8.7,75,947600000.0
The Departed,Martin Scorsese,2006,3,1900000.0,Vera Farmiga,1200000.0,Leonardo DiCaprio,6210000.0,151,"Crime, Drama, Thriller",0,90000000.0,5918053145,89,58112,8.5,23,291500000.0
Schindler's List,Steven Spielberg,1993,3,355591.1935,Liam Neeson,30300.0,Embeth Davidtz,41400.0,195,"Biography, Drama, History",0,22000000.0,60432771,95,22897,8.9,12,321300000.0
Hacksaw Ridge,Mel Gibson,2016,2,355591.1935,Luke Bracey,314000.0,Teresa Palmer,1200000.0,139,"Biography, Drama, History",0,40000000.0,6168501,71,3480,8.1,7,182200000.0
Stand by Me,Rob Reiner,1986,4,355591.1935,Wil Wheaton,1200000.0,Corey Feldman,192000.0,89,"Adventure, Drama",0,8000000.0,6293725129,75,13393,8.1,14,52300000.0
Saving Private Ryan,Steven Spielberg,1998,5,355591.1935,Tom Hanks,9500000.0,Vin Diesel,10200000.0,169,"Drama, War",0,70000000.0,6418949124,91,41391,8.6,75,482300000.0
